0;213
0;211
0;214
0;239
0;236
12,718;608
19,0249;563
16,7612;550
17,0692;550
28,1287;551
4,06232;603
4,75397;598
4,63348;634
4,32266;600
3,67664;628
129,714;1934
89,7478;1966
98,2181;1953
105,218;1935
92,3923;1979
19,3039;1393
35,0601;1400
29,3453;1452
29,8634;1430
36,1235;1412
251,878;7426
248,046;6931
342,839;6886
218,425;7047
230,491;6936
31,6344;2050
33,7903;2013
31,3316;2002
41,2118;2009
41,7089;1986
320,945;11003
382,137;11169
351,247;10922
403,269;10843
361,984;10850
44,5803;2808
44,4174;2800
51,5262;2879
51,1582;2837
37,4004;2803
425,954;22452
307,584;22179
358,53;22129
398,743;22434
460,197;22001