Media de la dispersion 0;Media de los tiempos 1115
Media de la dispersion 0;Media de los tiempos 1126
Media de la dispersion 0;Media de los tiempos 1104
Media de la dispersion 0;Media de los tiempos 1179
Media de la dispersion 0;Media de los tiempos 1116
Media de la dispersion 171.603;Media de los tiempos 1467
Media de la dispersion 23.9575;Media de los tiempos 1252
Media de la dispersion 28.1111;Media de los tiempos 1047
Media de la dispersion 25.54;Media de los tiempos 1220
Media de la dispersion 27.9855;Media de los tiempos 940
Media de la dispersion 12.9305;Media de los tiempos 1539
Media de la dispersion 4.9314;Media de los tiempos 1470
Media de la dispersion 76.5638;Media de los tiempos 1625
Media de la dispersion 8.19153;Media de los tiempos 1502
Media de la dispersion 8.57745;Media de los tiempos 1245
Media de la dispersion 57.8347;Media de los tiempos 3089
Media de la dispersion 173.789;Media de los tiempos 3225
Media de la dispersion 79.3915;Media de los tiempos 2094
Media de la dispersion 98.8651;Media de los tiempos 3049
Media de la dispersion 59.3096;Media de los tiempos 2032
Media de la dispersion 33.1572;Media de los tiempos 5307
Media de la dispersion 44.0826;Media de los tiempos 6334
Media de la dispersion 34.2775;Media de los tiempos 7929
Media de la dispersion 28.0846;Media de los tiempos 5916
Media de la dispersion 31.0552;Media de los tiempos 5125
Media de la dispersion 257.786;Media de los tiempos 16980
Media de la dispersion 201.799;Media de los tiempos 16604
Media de la dispersion 295.988;Media de los tiempos 21358
Media de la dispersion 223.051;Media de los tiempos 11168
Media de la dispersion 183.424;Media de los tiempos 11899
Media de la dispersion 53.7473;Media de los tiempos 7583
Media de la dispersion 31.2489;Media de los tiempos 5280
Media de la dispersion 31.8232;Media de los tiempos 9067
Media de la dispersion 39.6068;Media de los tiempos 9992
Media de la dispersion 48.8846;Media de los tiempos 8520
Media de la dispersion 285.182;Media de los tiempos 24234
Media de la dispersion 325.781;Media de los tiempos 27466
Media de la dispersion 286.274;Media de los tiempos 31194
Media de la dispersion 215.91;Media de los tiempos 17480
Media de la dispersion 377.385;Media de los tiempos 23795
Media de la dispersion 61.551;Media de los tiempos 13627
Media de la dispersion 87.8151;Media de los tiempos 18690
Media de la dispersion 59.9408;Media de los tiempos 11553
Media de la dispersion 37.8882;Media de los tiempos 18832
Media de la dispersion 50.691;Media de los tiempos 9826
Media de la dispersion 395.555;Media de los tiempos 33043
Media de la dispersion 322.5;Media de los tiempos 50165
Media de la dispersion 282.747;Media de los tiempos 31409
Media de la dispersion 431.498;Media de los tiempos 30937
Media de la dispersion 364.201;Media de los tiempos 35490